timestamp,signal,confidence,buy_probability,sell_probability,no_trade_probability,trade_recommended
2025-07-17 02:00:05.515,SELL,1.0,1.1177513773597364e-18,1.0,6.663773123666041e-24,True
2025-07-17 02:00:08.381,SELL,1.0,1.1018756100557359e-18,1.0,6.605335491098626e-24,True
2025-07-17 02:00:25.638,SELL,1.0,9.194056673835555e-19,1.0,5.035743286715358e-24,True
2025-07-17 02:00:49.765,SELL,1.0,9.719123009338544e-19,1.0,5.881498812573172e-24,True
2025-07-17 02:00:54.811,SELL,1.0,8.909791920428645e-19,1.0,5.02045595123308e-24,True
2025-07-17 02:01:12.282,SELL,1.0,9.462776635581063e-19,1.0,5.6008733784543754e-24,True
2025-07-17 02:01:30.404,SELL,1.0,1.0139498264589524e-18,1.0,6.3080982240376856e-24,True
2025-07-17 02:01:34.948,SELL,1.0,8.18007799945274e-19,1.0,4.259830744392644e-24,True
2025-07-17 02:01:39.743,SELL,1.0,5.878463454660426e-19,1.0,2.6959325380232605e-24,True
2025-07-17 02:01:48.964,SELL,1.0,5.971423045874901e-19,1.0,3.0500829639522763e-24,True
2025-07-17 02:02:03.442,SELL,1.0,5.57264909533286e-19,1.0,2.7417217720515878e-24,True
2025-07-17 02:02:05.802,SELL,1.0,4.826811873254649e-19,1.0,2.1842408700800457e-24,True
2025-07-17 02:02:17.700,SELL,1.0,3.403595672074939e-19,1.0,1.3577167870153882e-24,True
2025-07-17 02:02:23.125,SELL,1.0,3.564951467720185e-19,1.0,1.6101712093478373e-24,True
2025-07-17 02:02:39.555,SELL,1.0,3.583863659956503e-19,1.0,1.678168850010399e-24,True
2025-07-17 02:02:41.641,SELL,1.0,3.3369492131336585e-19,1.0,1.5052766706034388e-24,True
2025-07-17 02:02:46.345,SELL,1.0,2.5970943163417954e-19,1.0,1.0700101429808752e-24,True
2025-07-17 02:03:01.740,SELL,1.0,2.930850061279578e-19,1.0,1.3947260977762189e-24,True
2025-07-17 02:03:09.307,SELL,1.0,2.4932415319418213e-19,1.0,1.0385582586897135e-24,True
2025-07-17 02:03:35.219,SELL,1.0,2.299581748436965e-19,1.0,9.01224477623656e-25,True
2025-07-17 02:03:55.166,SELL,1.0,1.8161652492457288e-19,1.0,6.773693692452829e-25,True
2025-07-17 02:04:03.327,SELL,1.0,2.5157118932818243e-19,1.0,1.2228946404639413e-24,True
2025-07-17 02:04:05.615,SELL,1.0,3.2541698888142385e-19,1.0,1.871532857376363e-24,True
2025-07-17 02:04:16.598,SELL,1.0,2.9857952749744715e-19,1.0,1.6205233323994395e-24,True
2025-07-17 02:04:32.407,SELL,1.0,2.32081159735208e-19,1.0,1.1520023733172841e-24,True
2025-07-17 02:04:48.020,SELL,1.0,2.517007723410177e-19,1.0,1.341003388231697e-24,True
2025-07-17 02:05:01.389,SELL,1.0,1.7025338975356709e-19,1.0,6.467301595979185e-25,True
