epoch,accuracy,loss,lr,sparse_categorical_accuracy,val_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.36103346943855286,1.2517112493515015,1e-04,0.36103346943855286,0.34358733892440796,1.1391431093215942,0.34358733892440796
1,0.37081658840179443,1.1391068696975708,1e-04,0.37081658840179443,0.31591200828552246,1.139065146446228,0.31591200828552246
2,0.3788732588291168,1.1133300065994263,1e-04,0.3788732588291168,0.31245914101600647,1.130813479423523,0.31245914101600647
3,0.3823709785938263,1.0995897054672241,1e-04,0.3823709785938263,0.3037746250629425,1.1432504653930664,0.3037746250629425
