epoch,accuracy,loss,lr,sparse_categorical_accuracy,val_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.5378111600875854,1.2653859853744507,0.001,0.5378111600875854,0.45167452096939087,8.724056243896484,0.45167452096939087
1,0.5751737952232361,1.2827301025390625,0.001,0.5751737952232361,0.46161696314811707,8.624136924743652,0.46161696314811707
2,0.5852657556533813,1.3094346523284912,0.001,0.5852657556533813,0.4631344974040985,5.817316055297852,0.4631344974040985
3,0.5913807153701782,1.3180146217346191,0.001,0.5913807153701782,0.46187859773635864,6.997135639190674,0.46187859773635864
4,0.5890558362007141,1.3231220245361328,0.001,0.5890558362007141,0.46161696314811707,8.493575096130371,0.46161696314811707
5,0.5844135284423828,1.3473081588745117,0.001,0.5844135284423828,0.46386709809303284,13.397904396057129,0.46386709809303284
6,0.5788443088531494,1.370746374130249,0.001,0.5788443088531494,0.46057039499282837,19.239917755126953,0.46057039499282837
7,0.5754578709602356,1.40110445022583,0.001,0.5754578709602356,0.46075353026390076,18.13530921936035,0.46075353026390076
8,0.5690962076187134,1.4181660413742065,0.001,0.5690962076187134,0.464521199464798,16.719240188598633,0.464521199464798
9,0.5666816234588623,1.4415751695632935,0.001,0.5666816234588623,0.4653846025466919,13.582108497619629,0.4653846025466919
10,0.563265323638916,1.4661492109298706,0.001,0.563265323638916,0.464390367269516,9.227137565612793,0.464390367269516
11,0.5559617280960083,1.4968929290771484,0.001,0.5559617280960083,0.4622972309589386,9.508699417114258,0.4622972309589386
12,0.5562084317207336,1.5254807472229004,0.001,0.5562084317207336,0.46083202958106995,9.675686836242676,0.46083202958106995
13,0.5645585656166077,1.5617671012878418,0.0005,0.5645585656166077,0.46159079670906067,12.02158260345459,0.46159079670906067
14,0.5621888041496277,1.5567312240600586,0.0005,0.5621888041496277,0.462035596370697,13.94731616973877,0.462035596370697
15,0.5633101463317871,1.5709439516067505,0.0005,0.5633101463317871,0.46182626485824585,9.469151496887207,0.46182626485824585
16,0.5619271993637085,1.5854594707489014,0.0005,0.5619271993637085,0.46098899841308594,10.504765510559082,0.46098899841308594
17,0.5620916485786438,1.5898810625076294,0.0005,0.5620916485786438,0.46057039499282837,13.847138404846191,0.46057039499282837
18,0.5598265528678894,1.6132113933563232,0.0005,0.5598265528678894,0.46180009841918945,17.470216751098633,0.46180009841918945
19,0.5563055872917175,1.616719365119934,0.0005,0.5563055872917175,0.46166929602622986,25.059213638305664,0.46166929602622986
20,0.5551767945289612,1.636431336402893,0.0005,0.5551767945289612,0.4614076316356659,31.047155380249023,0.4614076316356659
21,0.5523061752319336,1.641277551651001,0.0005,0.5523061752319336,0.4614861309528351,17.578086853027344,0.4614861309528351
22,0.5519323945045471,1.642738938331604,0.0005,0.5519323945045471,0.46274203062057495,13.171238899230957,0.46274203062057495
23,0.5568662881851196,1.6864800453186035,0.00025,0.5568662881851196,0.46161696314811707,11.320243835449219,0.46161696314811707
24,0.5559766888618469,1.7025636434555054,0.00025,0.5559766888618469,0.46187859773635864,16.276905059814453,0.46187859773635864
